Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -7.3183274 0.0 -40.0466 6.18883 -10.8562 331.081 -2696.5 329.941 -2688.51 0.0 329.941 -2688.51 17.2159 -40.0466 -2381.4 8.61484 8.61484
0 1 -7.318209 0.0 -40.0445 6.18926 -10.8571 331.081 -2696.5 329.94 -2688.51 0.0 329.94 -2688.51 17.2151 -40.0445 -2381.3994 8.6153 8.6153
0 2 -7.187471 0.0 -38.7809 6.27435 -11.0058 331.081 -2696.5 329.905 -2688.29 0.0 329.905 -2688.29 18.1532 -38.7809 -2379.0127 10.4079 10.4079
0 3 -7.190379 0.0 -38.5851 6.32826 -10.9066 331.081 -2696.5 329.9 -2688.45 0.0 329.9 -2688.45 18.296 -38.5851 -2378.839 10.7143 10.7143
0 4 -7.06591 0.0 -37.8387 6.18784 -11.0047 331.081 -2696.5 329.942 -2687.95 0.0 329.942 -2687.95 17.3697 -37.8387 -2378.477 9.42651 9.42651
0 5 -7.0655146 0.0 -37.8346 6.18763 -11.0045 331.081 -2696.5 329.942 -2687.95 0.0 329.942 -2687.95 17.3706 -37.8346 -2378.4722 9.42631 9.42631
0 6 -6.1596084 0.0 -28.236 6.75354 -11.0936 331.081 -2696.5 329.975 -2687.25 0.0 329.975 -2687.25 48.7263 -28.236 -2336.7847 52.7055 52.7055
0 7 -5.687828 0.0 -23.1295 6.7551 -10.9515 331.081 -2696.5 329.975 -2687.29 0.0 329.975 -2687.29 48.9078 -23.1295 -2331.5366 55.2748 55.2748
1 0 -6.692893 0.0 -29.9914 6.17627 -10.8879 331.081 -2696.5 330.585 -2694.88 0.0 330.585 -2694.88 15.993 -29.9914 -2378.2932 19.3441 19.3441
1 1 -6.692893 0.0 -29.9914 6.17627 -10.8879 331.081 -2696.5 330.585 -2694.88 0.0 330.585 -2694.88 15.993 -29.9914 -2378.2932 19.3441 19.3441
1 2 -6.692893 0.0 -29.9914 6.17627 -10.8879 331.081 -2696.5 330.585 -2694.88 0.0 330.585 -2694.88 15.993 -29.9914 -2378.2932 19.3441 19.3441
1 3 -6.692893 0.0 -29.9914 6.17627 -10.8879 331.081 -2696.5 330.585 -2694.88 0.0 330.585 -2694.88 15.993 -29.9914 -2378.2932 19.3441 19.3441
1 4 -6.7030897 0.0 -30.0829 6.17894 -10.8926 331.081 -2696.5 330.562 -2694.87 0.0 330.562 -2694.87 16.1102 -30.0829 -2378.2808 19.3717 19.3717
