Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -7.500063 0.0 -47.2791 9.8565 -22.6423 331.081 -2696.5 330.823 -2687.78 0.0 330.823 -2687.78 125.62 -47.2791 -2278.6162 53.0087 53.0087
0 1 -7.500063 0.0 -47.2791 9.8565 -22.6423 331.081 -2696.5 330.823 -2687.78 0.0 330.823 -2687.78 125.62 -47.2791 -2278.6162 53.0087 53.0087
0 2 -7.4843016 0.0 -47.0658 9.85346 -22.6201 331.081 -2696.5 330.82 -2687.83 0.0 330.82 -2687.83 125.581 -47.0658 -2278.4949 53.0403 53.0403
0 3 -7.4843016 0.0 -47.0658 9.85346 -22.6201 331.081 -2696.5 330.82 -2687.83 0.0 330.82 -2687.83 125.581 -47.0658 -2278.4949 53.0403 53.0403
0 4 -7.443123 0.0 -46.504 9.84826 -22.6225 331.081 -2696.5 330.842 -2688.07 0.0 330.842 -2688.07 125.754 -46.504 -2277.978 53.2437 53.2437
0 5 -6.671733 0.0 -36.0973 9.85743 -22.2037 331.081 -2696.5 330.888 -2691.19 0.0 330.888 -2691.19 128.693 -36.0973 -2267.7063 61.3961 61.3961
0 6 -6.6430745 0.0 -36.4441 9.8783 -22.3421 331.081 -2696.5 330.861 -2690.25 0.0 330.861 -2690.25 128.59 -36.4441 -2267.243 60.2222 60.2222
0 7 -6.162978 0.0 -30.6007 9.86079 -23.7798 331.081 -2696.5 331.034 -2693.17 0.0 331.034 -2693.17 132.975 -30.6007 -2259.7617 67.2893 67.2893
1 0 -7.314547 0.0 -42.2923 9.84579 -21.8544 331.081 -2696.5 334.261 -2697.0 0.0 334.261 -2697.0 128.497 -42.2923 -2276.5344 60.1926 60.1926
1 1 -7.177688 0.0 -39.8882 9.77961 -21.0058 331.081 -2696.5 334.071 -2697.44 0.0 334.071 -2697.44 128.865 -39.8882 -2274.392 61.6571 61.6571
1 2 -7.177688 0.0 -39.8882 9.77961 -21.0058 331.081 -2696.5 334.071 -2697.44 0.0 334.071 -2697.44 128.865 -39.8882 -2274.392 61.6571 61.6571
1 3 -7.177688 0.0 -39.8882 9.77961 -21.0058 331.081 -2696.5 334.071 -2697.44 0.0 334.071 -2697.44 128.865 -39.8882 -2274.392 61.6571 61.6571
1 4 -7.177688 0.0 -39.8882 9.77961 -21.0058 331.081 -2696.5 334.071 -2697.44 0.0 334.071 -2697.44 128.865 -39.8882 -2274.392 61.6571 61.6571
1 5 -7.177688 0.0 -39.8882 9.77961 -21.0058 331.081 -2696.5 334.071 -2697.44 0.0 334.071 -2697.44 128.865 -39.8882 -2274.392 61.6571 61.6571
1 6 -7.1656537 0.0 -39.7633 9.76938 -21.0106 331.081 -2696.5 334.06 -2697.44 0.0 334.06 -2697.44 128.757 -39.7633 -2274.3862 61.6368 61.6368
1 7 -7.1656537 0.0 -39.7633 9.76938 -21.0106 331.081 -2696.5 334.06 -2697.44 0.0 334.06 -2697.44 128.757 -39.7633 -2274.3862 61.6368 61.6368
2 0 -6.921166 0.0 -32.8775 9.83323 -21.9004 331.081 -2696.5 333.963 -2704.73 0.0 333.963 -2704.73 128.373 -32.8775 -2275.2715 61.6782 61.6782
2 1 -6.8938384 0.0 -32.4575 9.81615 -21.878 331.081 -2696.5 333.907 -2704.85 0.0 333.907 -2704.85 128.285 -32.4575 -2275.1157 61.5185 61.5185
2 2 -6.8938384 0.0 -32.4575 9.81615 -21.878 331.081 -2696.5 333.907 -2704.85 0.0 333.907 -2704.85 128.285 -32.4575 -2275.1157 61.5185 61.5185
2 3 -6.8938384 0.0 -32.4575 9.81615 -21.878 331.081 -2696.5 333.907 -2704.85 0.0 333.907 -2704.85 128.285 -32.4575 -2275.1157 61.5185 61.5185
2 4 -6.8938384 0.0 -32.4575 9.81615 -21.878 331.081 -2696.5 333.907 -2704.85 0.0 333.907 -2704.85 128.285 -32.4575 -2275.1157 61.5185 61.5185
2 5 -6.651689 0.0 -31.7695 9.78517 -23.1268 331.081 -2696.5 333.827 -2703.13 0.0 333.827 -2703.13 127.715 -31.7695 -2273.3574 60.6059 60.6059
2 6 -6.651689 0.0 -31.7695 9.78517 -23.1268 331.081 -2696.5 333.827 -2703.13 0.0 333.827 -2703.13 127.715 -31.7695 -2273.3574 60.6059 60.6059
2 7 -6.651689 0.0 -31.7695 9.78517 -23.1268 331.081 -2696.5 333.827 -2703.13 0.0 333.827 -2703.13 127.715 -31.7695 -2273.3574 60.6059 60.6059
3 0 -6.7950373 0.0 -31.753 9.98154 -23.516 331.081 -2696.5 330.422 -2700.32 0.0 330.422 -2700.32 126.385 -31.753 -2275.266 59.3552 59.3552
3 1 -6.7950373 0.0 -31.753 9.98154 -23.516 331.081 -2696.5 330.422 -2700.32 0.0 330.422 -2700.32 126.385 -31.753 -2275.266 59.3552 59.3552
3 2 -6.7950373 0.0 -31.753 9.98154 -23.516 331.081 -2696.5 330.422 -2700.32 0.0 330.422 -2700.32 126.385 -31.753 -2275.266 59.3552 59.3552
3 3 -6.787665 0.0 -31.7117 9.98314 -23.5059 331.081 -2696.5 330.402 -2700.22 0.0 330.402 -2700.22 126.308 -31.7117 -2275.2217 59.3362 59.3362
3 4 -6.787665 0.0 -31.7117 9.98314 -23.5059 331.081 -2696.5 330.402 -2700.22 0.0 330.402 -2700.22 126.308 -31.7117 -2275.2217 59.3362 59.3362
3 5 -6.7849603 0.0 -31.7131 9.98239 -23.4973 331.081 -2696.5 330.385 -2700.14 0.0 330.385 -2700.14 126.296 -31.7131 -2275.1719 59.3312 59.3312
3 6 -6.7849603 0.0 -31.7131 9.98239 -23.4973 331.081 -2696.5 330.385 -2700.14 0.0 330.385 -2700.14 126.296 -31.7131 -2275.1719 59.3312 59.3312
3 7 -6.7849603 0.0 -31.7131 9.98239 -23.4973 331.081 -2696.5 330.385 -2700.14 0.0 330.385 -2700.14 126.296 -31.7131 -2275.1719 59.3312 59.3312
4 0 -7.2483864 0.0 -40.6819 9.81424 -22.9778 331.081 -2696.5 331.149 -2694.77 0.0 331.149 -2694.77 129.246 -40.6819 -2275.057 57.4216 57.4216
4 1 -7.2483864 0.0 -40.6819 9.81424 -22.9778 331.081 -2696.5 331.149 -2694.77 0.0 331.149 -2694.77 129.246 -40.6819 -2275.057 57.4216 57.4216
4 2 -7.240757 0.0 -40.5653 9.81061 -22.9943 331.081 -2696.5 331.157 -2694.86 0.0 331.157 -2694.86 129.365 -40.5653 -2274.9033 57.3762 57.3762
4 3 -7.240757 0.0 -40.5653 9.81061 -22.9943 331.081 -2696.5 331.157 -2694.86 0.0 331.157 -2694.86 129.365 -40.5653 -2274.9033 57.3762 57.3762
4 4 -7.240757 0.0 -40.5653 9.81061 -22.9943 331.081 -2696.5 331.157 -2694.86 0.0 331.157 -2694.86 129.365 -40.5653 -2274.9033 57.3762 57.3762
4 5 -7.240757 0.0 -40.5653 9.81061 -22.9943 331.081 -2696.5 331.157 -2694.86 0.0 331.157 -2694.86 129.365 -40.5653 -2274.9033 57.3762 57.3762
4 6 -6.853483 0.0 -34.3229 9.81052 -22.115 331.081 -2696.5 331.201 -2697.37 0.0 331.201 -2697.37 128.543 -34.3229 -2271.949 58.9897 58.9897
4 7 -6.853483 0.0 -34.3229 9.81052 -22.115 331.081 -2696.5 331.201 -2697.37 0.0 331.201 -2697.37 128.543 -34.3229 -2271.949 58.9897 58.9897
5 0 -6.79549 0.0 -35.0415 9.77968 -21.3999 331.081 -2696.5 332.628 -2696.85 0.0 332.628 -2696.85 124.608 -35.0415 -2274.6558 59.9695 59.9695
5 1 -6.79549 0.0 -35.0415 9.77968 -21.3999 331.081 -2696.5 332.628 -2696.85 0.0 332.628 -2696.85 124.608 -35.0415 -2274.6558 59.9695 59.9695
5 2 -6.7898393 0.0 -34.9692 9.77607 -21.4053 331.081 -2696.5 332.563 -2696.78 0.0 332.563 -2696.78 124.684 -34.9692 -2274.5022 59.9691 59.9691
5 3 -6.7898393 0.0 -34.9692 9.77607 -21.4053 331.081 -2696.5 332.563 -2696.78 0.0 332.563 -2696.78 124.684 -34.9692 -2274.5022 59.9691 59.9691
5 4 -6.7898393 0.0 -34.9692 9.77607 -21.4053 331.081 -2696.5 332.563 -2696.78 0.0 332.563 -2696.78 124.684 -34.9692 -2274.5022 59.9691 59.9691
5 5 -6.623401 0.0 -32.3518 9.8037 -23.2073 331.081 -2696.5 332.54 -2699.83 0.0 332.54 -2699.83 129.544 -32.3518 -2270.098 63.0078 63.0078
5 6 -6.623401 0.0 -32.3518 9.8037 -23.2073 331.081 -2696.5 332.54 -2699.83 0.0 332.54 -2699.83 129.544 -32.3518 -2270.098 63.0078 63.0078
5 7 -6.623401 0.0 -32.3518 9.8037 -23.2073 331.081 -2696.5 332.54 -2699.83 0.0 332.54 -2699.83 129.544 -32.3518 -2270.098 63.0078 63.0078
6 0 -7.152713 0.0 -43.4991 10.0514 -24.1586 331.081 -2696.5 331.876 -2690.79 0.0 331.876 -2690.79 128.15 -43.4991 -2274.2632 56.6131 56.6131
6 1 -7.2079725 0.0 -44.2871 9.85728 -23.9655 331.081 -2696.5 330.982 -2689.2 0.0 330.982 -2689.2 128.333 -44.2871 -2274.172 57.6024 57.6024
6 2 -7.3591967 0.0 -45.8048 10.0697 -26.0201 331.081 -2696.5 331.764 -2692.26 0.0 331.764 -2692.26 132.274 -45.8048 -2274.0269 57.0618 57.0618
6 3 -7.3382707 0.0 -45.7605 10.0524 -26.0842 331.081 -2696.5 331.701 -2691.98 0.0 331.701 -2691.98 132.161 -45.7605 -2273.8787 57.1608 57.1608
6 4 -7.1853485 0.0 -43.8424 9.8309 -23.9445 331.081 -2696.5 330.893 -2689.4 0.0 330.893 -2689.4 128.486 -43.8424 -2273.8633 57.5561 57.5561
6 5 -7.1894064 0.0 -43.9887 9.82285 -23.9567 331.081 -2696.5 330.877 -2689.24 0.0 330.877 -2689.24 128.561 -43.9887 -2273.7908 57.5679 57.5679
6 6 -7.1894064 0.0 -43.9887 9.82285 -23.9567 331.081 -2696.5 330.877 -2689.24 0.0 330.877 -2689.24 128.561 -43.9887 -2273.7908 57.5679 57.5679
6 7 -7.1894064 0.0 -43.9887 9.82285 -23.9567 331.081 -2696.5 330.877 -2689.24 0.0 330.877 -2689.24 128.561 -43.9887 -2273.7908 57.5679 57.5679
6 8 -7.61675 0.0 -54.8657 9.97766 -24.7637 331.081 -2696.5 330.497 -2679.39 0.0 330.497 -2679.39 136.626 -54.8657 -2267.1326 61.3094 61.3094
6 9 -7.5636334 0.0 -54.1036 9.91974 -24.7943 331.081 -2696.5 330.581 -2679.95 0.0 330.581 -2679.95 137.158 -54.1036 -2266.3145 62.2258 62.2258
6 10 -7.1017046 0.0 -49.2585 9.84355 -24.9234 331.081 -2696.5 330.815 -2680.5 0.0 330.815 -2680.5 133.719 -49.2585 -2265.2246 63.3968 63.3968
6 11 -7.19587 0.0 -44.5832 9.90858 -24.5429 331.081 -2696.5 331.789 -2690.29 0.0 331.789 -2690.29 138.356 -44.5832 -2264.7283 66.7779 66.7779
6 12 -7.074914 0.0 -42.7327 9.76189 -23.3385 331.081 -2696.5 331.015 -2689.0 0.0 331.015 -2689.0 136.756 -42.7327 -2263.962 64.6377 64.6377
6 13 -6.644065 0.0 -37.3353 9.85533 -22.8386 331.081 -2696.5 331.637 -2690.62 0.0 331.637 -2690.62 132.565 -37.3353 -2263.7534 64.9717 64.9717
6 14 -7.1999846 0.0 -48.6628 9.78409 -25.8624 331.081 -2696.5 331.153 -2684.58 0.0 331.153 -2684.58 139.178 -48.6628 -2262.9119 64.6182 64.6182
6 15 -7.015117 0.0 -40.5201 9.89463 -24.9553 331.081 -2696.5 331.743 -2693.98 0.0 331.743 -2693.98 140.226 -40.5201 -2262.5312 68.3366 68.3366
7 0 -7.336933 0.0 -41.0984 9.95116 -23.23 331.081 -2696.5 329.497 -2693.06 0.0 329.497 -2693.06 130.45 -41.0984 -2274.2114 59.8731 59.8731
7 1 -7.3800926 0.0 -41.6574 9.95239 -23.1387 331.081 -2696.5 329.453 -2692.74 0.0 329.453 -2692.74 130.753 -41.6574 -2274.1914 59.8742 59.8742
7 2 -7.1589475 0.0 -39.1604 9.92503 -23.2285 331.081 -2696.5 329.674 -2693.46 0.0 329.674 -2693.46 130.366 -39.1604 -2272.5803 62.3024 62.3024
7 3 -7.0234184 0.0 -36.8226 9.99889 -25.4045 331.081 -2696.5 330.398 -2698.04 0.0 330.398 -2698.04 134.58 -36.8226 -2269.8848 66.0968 66.0968
7 4 -6.739199 0.0 -33.2818 9.85687 -23.0293 331.081 -2696.5 330.234 -2696.46 0.0 330.234 -2696.46 135.072 -33.2818 -2264.4355 67.9795 67.9795
7 5 -7.013125 0.0 -36.0154 10.0402 -24.1416 331.081 -2696.5 330.228 -2697.53 0.0 330.228 -2697.53 140.716 -36.0154 -2262.6013 69.5983 69.5983
8 0 -7.78548 0.0 -55.9343 9.60737 -25.3043 331.081 -2696.5 331.074 -2682.5 0.0 331.074 -2682.5 133.452 -55.9343 -2273.9084 58.5647 58.5647
8 1 -7.78548 0.0 -55.9343 9.60737 -25.3043 331.081 -2696.5 331.074 -2682.5 0.0 331.074 -2682.5 133.452 -55.9343 -2273.9084 58.5647 58.5647
8 2 -7.7918177 0.0 -55.8939 9.59701 -25.3152 331.081 -2696.5 331.001 -2682.58 0.0 331.001 -2682.58 134.847 -55.8939 -2272.626 58.7263 58.7263
8 3 -7.5836678 0.0 -53.0363 9.59865 -24.8362 331.081 -2696.5 330.901 -2682.96 0.0 330.901 -2682.96 132.996 -53.0363 -2272.099 58.476 58.476
8 4 -7.5566654 0.0 -52.6783 9.59855 -24.8698 331.081 -2696.5 330.923 -2683.14 0.0 330.923 -2683.14 132.875 -52.6783 -2272.02 58.5551 58.5551
8 5 -7.5566654 0.0 -52.6783 9.59855 -24.8698 331.081 -2696.5 330.923 -2683.14 0.0 330.923 -2683.14 132.875 -52.6783 -2272.02 58.5551 58.5551
8 6 -7.520785 0.0 -52.1806 9.60378 -24.7972 331.081 -2696.5 330.844 -2683.12 0.0 330.844 -2683.12 132.85 -52.1806 -2271.6067 58.6314 58.6314
8 7 -6.8951273 0.0 -42.1014 9.64109 -23.2567 331.081 -2696.5 330.819 -2686.84 0.0 330.819 -2686.84 130.18 -42.1014 -2267.9424 60.6628 60.6628
9 0 -6.9624877 0.0 -37.0609 9.7675 -22.8062 331.081 -2696.5 330.194 -2694.12 0.0 330.194 -2694.12 127.501 -37.0609 -2273.4858 61.3223 61.3223
9 1 -6.997342 0.0 -37.4208 9.71096 -22.5911 331.081 -2696.5 330.158 -2693.95 0.0 330.158 -2693.95 127.791 -37.4208 -2273.4219 61.1862 61.1862
9 2 -6.956623 0.0 -36.6704 9.74967 -22.5257 331.081 -2696.5 330.152 -2694.31 0.0 330.152 -2694.31 127.575 -36.6704 -2273.2534 61.3925 61.3925
9 3 -7.3436165 0.0 -47.198 9.83024 -32.3365 331.081 -2696.5 330.07 -2693.92 0.0 330.07 -2693.92 141.428 -47.198 -2269.6199 60.4889 60.4889
9 4 -7.356464 0.0 -47.079 9.66105 -30.4612 331.081 -2696.5 330.057 -2692.68 0.0 330.057 -2692.68 141.208 -47.079 -2268.4941 61.8057 61.8057
9 5 -6.4275017 0.0 -28.8914 9.94641 -24.1807 331.081 -2696.5 330.327 -2699.31 0.0 330.327 -2699.31 129.814 -28.8914 -2268.0605 61.2531 61.2531
