Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -7.0885224 0.0 -36.5342 5.70104 -8.22103 331.081 -2696.5 329.939 -2688.3 0.0 329.939 -2688.3 24.2454 -36.5342 -2370.65 11.4593 11.4593
0 1 -7.0872355 0.0 -36.522 5.70063 -8.22101 331.081 -2696.5 329.94 -2688.3 0.0 329.94 -2688.3 24.2342 -36.522 -2370.648 11.4581 11.4581
0 2 -7.085826 0.0 -36.5063 5.70015 -8.21904 331.081 -2696.5 329.94 -2688.3 0.0 329.94 -2688.3 24.2212 -36.5063 -2370.6453 11.4574 11.4574
0 3 -7.0884743 0.0 -36.5359 5.70348 -8.22439 331.081 -2696.5 329.935 -2688.29 0.0 329.935 -2688.29 24.2984 -36.5359 -2370.5925 11.4975 11.4975
0 4 -7.080991 0.0 -36.4404 5.76637 -8.25944 331.081 -2696.5 329.907 -2688.21 0.0 329.907 -2688.21 25.0806 -36.4404 -2369.6628 12.2532 12.2532
0 5 -7.0037885 0.0 -35.8259 5.83125 -8.39139 331.081 -2696.5 329.894 -2687.91 0.0 329.894 -2687.91 27.2747 -35.8259 -2366.5671 15.1083 15.1083
0 6 -6.821575 0.0 -33.8605 5.83225 -8.3908 331.081 -2696.5 329.895 -2687.97 0.0 329.895 -2687.97 27.7696 -33.8605 -2364.1658 17.3775 17.3775
0 7 -6.466747 0.0 -29.8623 5.88432 -8.13187 331.081 -2696.5 329.919 -2688.05 0.0 329.919 -2688.05 27.6346 -29.8623 -2360.359 21.7189 21.7189
1 0 -7.1835976 0.0 -36.8365 5.85574 -9.06149 331.081 -2696.5 329.41 -2689.17 0.0 329.41 -2689.17 26.6829 -36.8365 -2369.9136 14.5149 14.5149
1 1 -6.518347 0.0 -30.6846 5.74516 -8.25127 331.081 -2696.5 329.339 -2687.06 0.0 329.339 -2687.06 24.0445 -30.6846 -2364.3613 18.2755 18.2755
1 2 -6.6022134 0.0 -31.1743 5.86208 -8.49495 331.081 -2696.5 329.419 -2687.86 0.0 329.419 -2687.86 26.5278 -31.1743 -2363.0876 17.5845 17.5845
1 3 -6.599852 0.0 -31.1506 5.85874 -8.49329 331.081 -2696.5 329.418 -2687.86 0.0 329.418 -2687.86 26.5212 -31.1506 -2363.0715 17.5804 17.5804
1 4 -6.6000996 0.0 -31.1484 5.85918 -8.49809 331.081 -2696.5 329.417 -2687.87 0.0 329.417 -2687.87 26.5395 -31.1484 -2363.062 17.5786 17.5786
1 5 -6.599775 0.0 -31.144 5.8593 -8.49678 331.081 -2696.5 329.417 -2687.87 0.0 329.417 -2687.87 26.5358 -31.144 -2363.0613 17.5785 17.5785
1 6 -6.600218 0.0 -31.1558 5.85948 -8.4965 331.081 -2696.5 329.418 -2687.86 0.0 329.418 -2687.86 26.5369 -31.1558 -2363.061 17.5786 17.5786
1 7 -6.589521 0.0 -31.0844 5.84684 -8.51525 331.081 -2696.5 329.409 -2687.82 0.0 329.409 -2687.82 26.5682 -31.0844 -2362.9272 17.7468 17.7468
2 0 -7.0529113 0.0 -36.4417 5.83542 -8.21595 331.081 -2696.5 329.94 -2687.65 0.0 329.94 -2687.65 25.7792 -36.4417 -2368.3726 13.0312 13.0312
2 1 -7.0527577 0.0 -36.4404 5.83541 -8.21643 331.081 -2696.5 329.94 -2687.65 0.0 329.94 -2687.65 25.778 -36.4404 -2368.3723 13.0312 13.0312
2 2 -7.052605 0.0 -36.4386 5.83534 -8.21603 331.081 -2696.5 329.94 -2687.65 0.0 329.94 -2687.65 25.7765 -36.4386 -2368.372 13.0312 13.0312
2 3 -7.0524435 0.0 -36.4371 5.83526 -8.21623 331.081 -2696.5 329.94 -2687.65 0.0 329.94 -2687.65 25.7752 -36.4371 -2368.3718 13.0312 13.0312
2 4 -5.991491 0.0 -24.4861 5.71818 -8.02104 331.081 -2696.5 329.938 -2688.77 0.0 329.938 -2688.77 26.518 -24.4861 -2356.8 24.6705 24.6705
2 5 -5.9319625 0.0 -23.8296 6.32117 -8.26135 331.081 -2696.5 329.983 -2688.19 0.0 329.983 -2688.19 64.2866 -23.8296 -2317.75 63.5898 63.5898
2 6 -5.932118 0.0 -23.8313 6.32121 -8.2615 331.081 -2696.5 329.983 -2688.19 0.0 329.983 -2688.19 64.2884 -23.8313 -2317.75 63.5898 63.5898
