ligand,site,score,COM_x,COM_y,COM_z,exhaustiveness,i,model
Chrysin,0,-7.8,40.00090427236744,16.091898000822034,-1.0634009205264385,1024,1,1
Chrysin,0,-7.2,40.32434084338858,15.791780590073184,-1.6037471117979305,1024,1,2
Chrysin,0,-6.7,40.142304529862,15.066512375768868,-0.7325538325248616,1024,1,3
Chrysin,0,-6.7,40.14330994566489,15.061234273588521,-0.7367313178117857,1024,1,4
Chrysin,0,-5.6,46.66177446395449,10.754042680046142,-7.8558191928105,1024,1,5
Chrysin,0,-5.6,46.659366979404446,10.752966314471445,-7.855205443198337,1024,1,6
Chrysin,0,-5.4,40.21851296251268,13.49835542765231,-13.199306231354013,1024,1,7
Chrysin,0,-5.4,47.992061663588494,12.258881803297196,-7.474207010394115,1024,1,8
Chrysin,0,-5.2,48.739592618223575,10.845025796009939,-6.069835817434778,1024,1,9
Chrysin,0,-5.2,48.4023844574964,10.887258234216398,-6.368159499582775,1024,1,10
Chrysin,0,-5.2,50.81424616754017,10.704487136198741,-2.821928233564005,1024,1,11
Chrysin,0,-5.2,50.16423947287629,10.515676344662507,-4.000489287457261,1024,1,12
Chrysin,0,-5.2,43.65470783327347,11.54476318209475,-10.99947426212012,1024,1,13
Chrysin,0,-5.1,48.92133931242762,11.345426349638705,-6.058301560558147,1024,1,14
Chrysin,0,-5.1,51.98974897910888,9.418063619292814,-3.231308680940309,1024,1,15
Chrysin,0,-5.0,49.33249407126348,9.736221191606628,-6.18152800125506,1024,1,16
Chrysin,0,-5.0,50.22349351587986,13.270456160074637,-7.067536336965457,1024,1,17
Chrysin,0,-5.0,43.86682593963302,12.446438025531567,-11.13672218818553,1024,1,18
Chrysin,0,-5.0,48.11235690458607,11.677633071535544,-7.307101698331637,1024,1,19
Chrysin,0,-5.0,48.90459664069274,12.389818669599471,-7.732132690704535,1024,1,20
Chrysin,0,-7.8,40.00159106695161,16.089116395361987,-1.0621718289207178,1024,2,1
Chrysin,0,-7.2,40.33070112097966,15.79165737468792,-1.6040744900581383,1024,2,2
