Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -7.5483484 0.0 -43.52 6.68667 -13.1063 331.081 -2696.5 329.417 -2687.57 0.0 329.417 -2687.57 6.14487 -43.52 -2395.5283 -1.10514 -1.10514
0 1 -6.927639 0.0 -37.3886 6.68073 -12.721 331.081 -2696.5 329.411 -2686.52 0.0 329.411 -2686.52 5.28644 -37.3886 -2389.211 1.3665 1.3665
0 2 -6.9143577 0.0 -37.2464 6.68007 -12.7203 331.081 -2696.5 329.409 -2686.52 0.0 329.409 -2686.52 5.23602 -37.2464 -2389.1216 1.36741 1.36741
0 3 -6.800682 0.0 -34.4991 6.67308 -12.4182 331.081 -2696.5 329.391 -2688.59 0.0 329.391 -2688.59 5.45304 -34.4991 -2388.245 1.07877 1.07877
0 4 -6.801618 0.0 -34.5081 6.67307 -12.4168 331.081 -2696.5 329.391 -2688.59 0.0 329.391 -2688.59 5.47323 -34.5081 -2388.234 1.07819 1.07819
0 5 -6.76649 0.0 -35.6591 6.67292 -12.6565 331.081 -2696.5 329.393 -2686.48 0.0 329.393 -2686.48 5.02202 -35.6591 -2387.7239 1.41684 1.41684
0 6 -6.756851 0.0 -35.5842 6.66937 -12.6211 331.081 -2696.5 329.394 -2686.41 0.0 329.394 -2686.41 4.99977 -35.5842 -2387.6003 1.44758 1.44758
0 7 -6.7831464 0.0 -35.8275 6.67097 -12.5592 331.081 -2696.5 329.401 -2686.41 0.0 329.401 -2686.41 5.3931 -35.8275 -2387.4434 1.99321 1.99321
1 0 -6.924017 0.0 -35.0337 6.54997 -12.143 331.081 -2696.5 330.501 -2691.41 0.0 330.501 -2691.41 3.67421 -35.0337 -2392.2683 5.26937 5.26937
1 1 -6.924017 0.0 -35.0337 6.54997 -12.143 331.081 -2696.5 330.501 -2691.41 0.0 330.501 -2691.41 3.67421 -35.0337 -2392.2683 5.26937 5.26937
1 2 -6.9131474 0.0 -34.9996 6.54354 -12.1305 331.081 -2696.5 330.48 -2691.25 0.0 330.48 -2691.25 3.72205 -34.9996 -2392.0476 5.42131 5.42131
1 3 -6.9131474 0.0 -34.9996 6.54354 -12.1305 331.081 -2696.5 330.48 -2691.25 0.0 330.48 -2691.25 3.72205 -34.9996 -2392.0476 5.42131 5.42131
1 4 -6.9131474 0.0 -34.9996 6.54354 -12.1305 331.081 -2696.5 330.48 -2691.25 0.0 330.48 -2691.25 3.72205 -34.9996 -2392.0476 5.42131 5.42131
1 5 -6.9131474 0.0 -34.9996 6.54354 -12.1305 331.081 -2696.5 330.48 -2691.25 0.0 330.48 -2691.25 3.72205 -34.9996 -2392.0476 5.42131 5.42131
1 6 -6.625503 0.0 -33.4094 6.54235 -11.8462 331.081 -2696.5 330.774 -2689.18 0.0 330.774 -2689.18 3.34154 -33.4094 -2388.4739 7.63429 7.63429
1 7 -6.625503 0.0 -33.4094 6.54235 -11.8462 331.081 -2696.5 330.774 -2689.18 0.0 330.774 -2689.18 3.34154 -33.4094 -2388.4739 7.63429 7.63429
2 0 -7.2397037 0.0 -39.6697 6.51194 -11.86 331.081 -2696.5 329.959 -2688.34 0.0 329.959 -2688.34 5.88909 -39.6697 -2392.1616 -1.32553 -1.32553
2 1 -7.239791 0.0 -39.6705 6.51193 -11.8598 331.081 -2696.5 329.959 -2688.34 0.0 329.959 -2688.34 5.88998 -39.6705 -2392.1616 -1.32552 -1.32552
2 2 -6.988315 0.0 -37.4878 6.51151 -12.0828 331.081 -2696.5 329.96 -2687.83 0.0 329.96 -2687.83 6.1174 -37.4878 -2389.2405 -0.505653 -0.505653
2 3 -6.9880877 0.0 -37.485 6.51158 -12.0823 331.081 -2696.5 329.96 -2687.83 0.0 329.96 -2687.83 6.11661 -37.485 -2389.2385 -0.505632 -0.505632
2 4 -6.9881926 0.0 -37.4862 6.51156 -12.0824 331.081 -2696.5 329.96 -2687.83 0.0 329.96 -2687.83 6.11825 -37.4862 -2389.238 -0.505642 -0.505642
2 5 -6.69651 0.0 -34.7012 6.6126 -12.2084 331.081 -2696.5 329.922 -2687.28 0.0 329.922 -2687.28 6.58066 -34.7012 -2385.4785 3.47002 3.47002
2 6 -6.661839 0.0 -34.2327 6.60946 -12.2227 331.081 -2696.5 329.924 -2687.46 0.0 329.924 -2687.46 6.36816 -34.2327 -2385.4004 3.85024 3.85024
2 7 -6.24282 0.0 -29.1118 6.65952 -12.2866 331.081 -2696.5 329.927 -2688.52 0.0 329.927 -2688.52 7.10742 -29.1118 -2380.5974 8.62884 8.62884
3 0 -6.7553425 0.0 -36.4627 6.63908 -12.2753 331.081 -2696.5 330.676 -2686.71 0.0 330.676 -2686.71 1.86568 -36.4627 -2390.6309 3.53779 3.53779
3 1 -6.758075 0.0 -36.5228 6.64242 -12.2803 331.081 -2696.5 330.662 -2686.64 0.0 330.662 -2686.64 1.87648 -36.5228 -2390.624 3.51929 3.51929
3 2 -6.756366 0.0 -36.5096 6.64269 -12.2813 331.081 -2696.5 330.66 -2686.63 0.0 330.66 -2686.63 1.86909 -36.5096 -2390.6106 3.51963 3.51963
3 3 -6.756709 0.0 -36.5012 6.6446 -12.2834 331.081 -2696.5 330.655 -2686.64 0.0 330.655 -2686.64 1.87864 -36.5012 -2390.6074 3.51904 3.51904
3 4 -6.426288 0.0 -32.7396 6.6751 -12.1341 331.081 -2696.5 330.371 -2686.42 0.0 330.371 -2686.42 2.06807 -32.7396 -2386.7205 5.0378 5.0378
