ligand,site,score,COM_x,COM_y,COM_z,exhaustiveness,i,model
Naringetin,0,-7.4,40.14939677091284,15.124383764632917,-0.610011648040942,1024,1,1
Naringetin,0,-7.1,40.25397644994652,15.483241716987932,-1.3037597811558088,1024,1,2
Naringetin,0,-7.0,40.00520005652429,15.803130450823932,-0.9451112170719386,1024,1,3
Naringetin,0,-6.1,40.02118119271059,15.280631142786385,-0.7439080890262455,1024,1,4
Naringetin,0,-5.6,47.90825263601942,10.217666526609916,-7.392032106358634,1024,1,5
Naringetin,0,-5.6,47.90840276591959,10.218560234246644,-7.393956777101767,1024,1,6
Naringetin,0,-5.6,46.8803458134315,10.952835562956354,-8.05895568142172,1024,1,7
Naringetin,0,-5.5,47.05752967337595,11.04844022057686,-8.147325996730292,1024,1,8
Naringetin,0,-5.5,46.77826620708598,10.83475372026236,-7.902052827235245,1024,1,9
Naringetin,0,-5.5,47.0073824171851,11.406781460011521,-7.6886384563632815,1024,1,10
Naringetin,0,-5.4,47.7486446812516,11.922592471542762,-7.55200058317719,1024,1,11
Naringetin,0,-5.4,47.74748510333387,11.919924978974393,-7.5593184423287285,1024,1,12
Naringetin,0,-5.4,48.24667103008442,10.914555649762665,-6.4124684930432565,1024,1,13
Naringetin,0,-5.3,51.6038475674847,11.302623757547243,-1.9229255186070693,1024,1,14
Naringetin,0,-5.1,40.85244719636089,13.939151481451685,-13.196949542026571,1024,1,15
Naringetin,0,-5.1,48.231079722464216,11.660256628814873,-6.806492664118897,1024,1,16
Naringetin,0,-5.1,44.03118226354064,12.796976296514831,-11.204340807485343,1024,1,17
Naringetin,0,-5.1,48.43158973203871,10.83804357049434,-7.587653373433797,1024,1,18
Naringetin,0,-7.4,40.14355568152812,15.124166047126407,-0.6120612745651234,1024,2,1
Naringetin,0,-6.9,40.25119775953268,15.507241831510743,-1.2576633360060396,1024,2,2
Naringetin,0,-6.1,40.01642127932541,15.283514396930281,-0.7351741315094192,1024,2,3
Naringetin,0,-5.6,47.91137860951077,10.221753554367677,-7.389508629221284,1024,2,4
Naringetin,0,-5.6,47.910962779783915,10.220080386422904,-7.396226359684754,1024,2,5
Naringetin,0,-5.5,46.84318013563545,11.00879835125156,-8.088006172756478,1024,2,6
Naringetin,0,-5.5,46.876668978401106,11.136065773024011,-8.159813522293689,1024,2,7
Naringetin,0,-5.5,47.019433605535895,11.405439097918983,-7.698550905083547,1024,2,8
Naringetin,0,-5.5,46.78567000310286,10.897164941415166,-7.925013987133173,1024,2,9
Naringetin,0,-5.4,47.04390994548123,11.393193673188698,-7.687673110949349,1024,2,10
Naringetin,0,-5.4,47.75255794599435,11.919164366521317,-7.54871579094717,1024,2,11
Naringetin,0,-5.4,47.74783465558922,11.926409005854651,-7.545974284576335,1024,2,12
Naringetin,0,-5.4,48.248016957810734,10.907121141115281,-6.415444531178818,1024,2,13
Naringetin,0,-5.3,51.604733034266964,11.301020541607006,-1.926469890875041,1024,2,14
Naringetin,0,-5.1,48.23303170237509,11.661194301582253,-6.80300041872639,1024,2,15
Naringetin,0,-5.1,40.86481567565685,13.934772316045565,-13.19720132387453,1024,2,16
Naringetin,0,-7.1,40.27212988755716,15.492711629521235,-1.3099905437751083,1024,3,1
Naringetin,0,-7.0,39.97602448987007,15.779148139695945,-0.9825372992117689,1024,3,2
Naringetin,0,-6.1,40.011205307474754,15.282550577245871,-0.7391297740222612,1024,3,3
Naringetin,0,-5.6,47.90891496639817,10.21506613612286,-7.397279151126869,1024,3,4
Naringetin,0,-5.5,46.99314337731026,10.89671321969358,-8.046778718987559,1024,3,5
Naringetin,0,-5.5,46.77530610654301,10.837151100190287,-7.9033398407669475,1024,3,6
Naringetin,0,-5.5,46.877866298461036,11.12214199232143,-8.16420998923091,1024,3,7
Naringetin,0,-5.5,47.169361300912236,10.344901278300988,-7.800316594005103,1024,3,8
Naringetin,0,-5.5,47.00888484925585,11.403779931242246,-7.689584597282873,1024,3,9
Naringetin,0,-5.4,47.75221634186497,11.92405334065003,-7.5549073993816105,1024,3,10
Naringetin,0,-5.4,47.75351552893542,11.92340956896945,-7.550941289697032,1024,3,11
Naringetin,0,-5.4,48.26311300102874,10.892587222948096,-6.433541169961044,1024,3,12
Naringetin,0,-5.3,51.597114508975714,11.293672091187213,-1.9339061853030695,1024,3,13
Naringetin,0,-5.1,40.86071262549729,13.934106476572492,-13.191502354784976,1024,3,14
Naringetin,0,-5.1,48.225439704426314,11.666968373922824,-6.804834407773086,1024,3,15
Naringetin,0,-5.1,48.76054265176611,10.085814028489056,-7.034566587564621,1024,3,16
Naringetin,0,-7.1,40.256437585868376,15.47816258408441,-1.30319384561885,1024,4,1
Naringetin,0,-6.1,40.01625709876116,15.28177394778657,-0.7360386686598351,1024,4,2
Naringetin,0,-5.6,47.90753780008759,10.223842687992382,-7.3982542215561145,1024,4,3
Naringetin,0,-5.6,47.9048118407007,10.217294116149539,-7.392433592692918,1024,4,4
Naringetin,0,-5.5,46.890999030165894,11.026908925339114,-8.09031324905762,1024,4,5
Naringetin,0,-5.5,46.9361269794986,11.042332379533905,-8.088283590994454,1024,4,6
Naringetin,0,-5.5,46.84101103157846,10.933757461670014,-7.841330081250402,1024,4,7
Naringetin,0,-5.5,46.84036654000764,10.93245771148476,-7.844235406454514,1024,4,8
Naringetin,0,-5.5,47.02112019377535,11.39822354487072,-7.696313060288777,1024,4,9
Naringetin,0,-5.4,47.00910282172191,11.406513079576026,-7.712144134285481,1024,4,10
Naringetin,0,-5.4,47.75251747118751,11.924115912659001,-7.545844691647538,1024,4,11
Naringetin,0,-5.4,48.24308419941683,10.915925869850877,-6.411202163151155,1024,4,12
Naringetin,0,-5.3,51.609193534499845,11.303900350263486,-1.922920872568035,1024,4,13
Naringetin,0,-5.1,48.06775824805492,10.564349185888757,-7.737922917943843,1024,4,14
Naringetin,0,-5.1,40.85159048863396,13.934785893115654,-13.198421787724573,1024,4,15
Naringetin,0,-5.1,48.23549429175626,11.658387461660135,-6.80766403363004,1024,4,16
Naringetin,0,-5.1,44.025471071136316,12.796076367637523,-11.195960300710906,1024,4,17
Naringetin,0,-7.4,40.15602077194453,15.136056784693562,-0.6114413629931448,1024,5,1
Naringetin,0,-7.1,40.24788794486735,15.479805402041555,-1.3017676760100414,1024,5,2
Naringetin,0,-6.9,39.9970717689427,15.844413949257817,-1.0268201218319002,1024,5,3
Naringetin,0,-6.1,40.020134601686735,15.280418115699351,-0.7391266263549433,1024,5,4
Naringetin,0,-5.6,47.90554646810376,10.222455934139436,-7.391521987656924,1024,5,5
Naringetin,0,-5.6,47.906367408693924,10.222022081471396,-7.391332302476091,1024,5,6
Naringetin,0,-5.6,46.8838502246114,11.00503094942751,-8.090444650413247,1024,5,7
Naringetin,0,-5.5,46.83641185273813,10.924998294088953,-7.840814488556119,1024,5,8
Naringetin,0,-5.5,46.8881611667222,11.128423974525028,-8.160450384076972,1024,5,9
Naringetin,0,-5.5,46.790480261078585,10.8319623374994,-7.914013711351312,1024,5,10
Naringetin,0,-5.5,47.01761207264927,11.401620461311854,-7.701673400410113,1024,5,11
Naringetin,0,-5.4,47.00730836234592,11.412552255875115,-7.711923131410707,1024,5,12
Naringetin,0,-5.4,47.75184143432104,11.93072567562567,-7.543692741465489,1024,5,13
Naringetin,0,-5.4,47.75754262478827,11.919497720904962,-7.55584000989137,1024,5,14
Naringetin,0,-5.4,48.22739495374672,10.932662115240042,-6.396916831896408,1024,5,15
Naringetin,0,-5.3,51.60285350253226,11.307201999612284,-1.9217246424886005,1024,5,16
Naringetin,0,-5.3,47.707912922998204,11.078604808012438,-8.115140088142288,1024,5,17
Naringetin,0,-5.1,48.238911252804286,11.653217206219558,-6.798993593258312,1024,5,18
Naringetin,1,-7.4,40.129020795730625,15.318821522019505,-0.7646273882317826,1024,1,1
Naringetin,1,-7.4,40.1111764203697,15.351026697112871,-0.7390168735334605,1024,1,2
Naringetin,1,-7.4,39.608592595260845,16.95997569373122,-1.0151087097292182,1024,1,3
Naringetin,1,-7.1,40.260614415313206,15.522714069153393,-1.343602116916463,1024,1,4
Naringetin,1,-6.4,40.55265917974771,13.590734791245906,0.11085256674335228,1024,1,5
Naringetin,1,-6.2,40.27484294963939,14.115793303356783,-0.3227977615388949,1024,1,6
Naringetin,1,-6.1,40.01003245235888,15.385637181641613,-0.7744121092935147,1024,1,7
Naringetin,1,-5.6,47.88704112995027,10.114893458604723,-7.453537090228549,1024,1,8
Naringetin,1,-5.6,47.90945483443173,10.109827697815733,-7.461238676016048,1024,1,9
Naringetin,1,-5.5,46.92445771513249,10.865650000292582,-8.072102365910476,1024,1,10
Naringetin,1,-5.5,46.78240988426814,10.803918878640102,-7.92444620213268,1024,1,11
Naringetin,1,-5.5,46.790331486529595,10.8049624097696,-7.931183713656205,1024,1,12
Naringetin,1,-5.3,47.4741926020547,11.331239103101765,-7.26305231404844,1024,1,13
Naringetin,1,-7.4,40.11708672363019,15.336061920133307,-0.7566264880840428,1024,2,1
Naringetin,1,-7.4,40.12508747422193,15.333226111108708,-0.7555686064185517,1024,2,2
Naringetin,1,-7.4,39.61152837904786,16.95074407367275,-1.0025725095412246,1024,2,3
Naringetin,1,-7.1,40.270964015824696,15.525185347145081,-1.3447018022181259,1024,2,4
Naringetin,1,-6.4,40.55318764862033,13.589291075557625,0.11690698187112346,1024,2,5
Naringetin,1,-6.2,40.26380673983818,14.13876445987223,-0.3159957458615055,1024,2,6
Naringetin,1,-6.1,40.008343802860914,15.38346121305567,-0.7762427492890583,1024,2,7
Naringetin,1,-5.6,47.90296130603423,10.100997638565572,-7.444875595478702,1024,2,8
Naringetin,1,-5.6,47.924389810327625,10.116255647885618,-7.46357638165839,1024,2,9
Naringetin,1,-5.6,46.94803619961806,10.923704406757048,-8.023704836350563,1024,2,10
Naringetin,1,-5.5,46.78532205751054,10.798314278167009,-7.923082271983537,1024,2,11
Naringetin,1,-5.5,46.792274321486595,10.8128977303738,-7.929040550496772,1024,2,12
Naringetin,1,-5.3,47.467113063115775,11.365594903955495,-7.235877509233072,1024,2,13
Naringetin,1,-5.3,47.504994788794356,11.352293230744614,-7.204256302193087,1024,2,14
Naringetin,1,-7.4,40.13076532688663,15.303802573016657,-0.7631703837182773,1024,3,1
Naringetin,1,-7.4,40.1145601726156,15.324150001850455,-0.7534298908780802,1024,3,2
Naringetin,1,-7.4,39.61489912273404,16.9561040848165,-1.0081566007047222,1024,3,3
Naringetin,1,-7.1,40.26307527758104,15.516537737316607,-1.3425196296422115,1024,3,4
Naringetin,1,-6.4,40.55995434788079,13.587843530384763,0.11796391961638898,1024,3,5
Naringetin,1,-6.2,40.278353020160985,14.120751459595837,-0.32003361947316333,1024,3,6
Naringetin,1,-6.1,40.009783372246034,15.39153362019511,-0.77679308099863,1024,3,7
Naringetin,1,-5.6,47.88578239177273,10.116744993730887,-7.449915658246622,1024,3,8
Naringetin,1,-5.6,47.91495787756945,10.109305620638006,-7.4595870609291,1024,3,9
Naringetin,1,-5.6,46.95085306115969,10.932787606550102,-8.026957148331967,1024,3,10
Naringetin,1,-5.5,46.92911431275945,10.86769177330321,-8.06136031869106,1024,3,11
Naringetin,1,-5.5,46.790750055760554,10.799365955538557,-7.918424187839902,1024,3,12
Naringetin,1,-5.5,46.78480478436317,10.802595478317386,-7.929660376043657,1024,3,13
Naringetin,1,-5.3,47.466871974293404,11.3479088184157,-7.252498095782867,1024,3,14
Naringetin,1,-7.4,40.121654279281096,15.343526214133647,-0.7408550398128244,1024,4,1
Naringetin,1,-7.4,40.11060673780153,15.34944862907386,-0.7594657740575224,1024,4,2
Naringetin,1,-7.4,39.61084233667261,16.95515113545146,-1.0222339742734816,1024,4,3
Naringetin,1,-7.1,40.266486415140555,15.525705840229978,-1.3469050267000775,1024,4,4
Naringetin,1,-6.4,40.555355136895045,13.585794756132163,0.11776478641800565,1024,4,5
Naringetin,1,-6.2,40.25809511198881,14.122437612314243,-0.30484313232870935,1024,4,6
Naringetin,1,-6.1,40.00517747683689,15.384845890223326,-0.7754863985738685,1024,4,7
Naringetin,1,-5.6,47.91408753562502,10.109168709648669,-7.4565855919670225,1024,4,8
Naringetin,1,-5.6,47.917227627642994,10.114999788736965,-7.468498514585247,1024,4,9
Naringetin,1,-5.6,46.95524066401647,10.937334954207222,-8.025015558307047,1024,4,10
Naringetin,1,-5.5,46.78488247087479,10.802986085744983,-7.919169652808954,1024,4,11
Naringetin,1,-5.5,46.79441074520305,10.815308077520775,-7.916308962393741,1024,4,12
Naringetin,1,-5.3,47.47176266307248,11.327505183353907,-7.257687046786636,1024,4,13
Naringetin,1,-7.4,40.13014721302634,15.318543371428323,-0.7707445535742177,1024,5,1
Naringetin,1,-7.4,40.119469511741514,15.320953472203076,-0.7603347460599259,1024,5,2
Naringetin,1,-7.4,39.61281923217133,16.95424150716877,-1.0010139093154165,1024,5,3
Naringetin,1,-7.1,40.26484799487439,15.523017078868985,-1.3410199025743021,1024,5,4
Naringetin,1,-6.4,40.5596449464703,13.583847554413728,0.12171975212917813,1024,5,5
Naringetin,1,-6.2,40.27065450916264,14.12468887413595,-0.31857440619696836,1024,5,6
Naringetin,1,-6.1,40.005900281717004,15.387241740774027,-0.7779115832257452,1024,5,7
Naringetin,1,-5.6,47.91456760063932,10.118127656300269,-7.458284813964276,1024,5,8
Naringetin,1,-5.6,47.92096044274352,10.101947048818712,-7.458323422056976,1024,5,9
Naringetin,1,-5.5,46.92547253569075,10.866233962342442,-8.078981596025402,1024,5,10
Naringetin,1,-5.5,46.920251642855135,10.865278182128655,-8.069804292910586,1024,5,11
Naringetin,1,-5.5,46.78876918768072,10.812187486677324,-7.924142510599823,1024,5,12
Naringetin,1,-5.5,46.79653443196197,10.803854375018195,-7.919363160634921,1024,5,13
Naringetin,1,-5.3,47.486648522211254,11.328863080271372,-7.26859745233492,1024,5,14
Naringetin,2,-6.0,44.06858817188393,1.3513343363008201,8.34253925225499,1024,1,1
Naringetin,2,-6.0,44.07057639936499,1.3384622659511392,8.340469157457921,1024,1,2
Naringetin,2,-6.0,43.59031305101754,0.6402271200037148,8.578868403416053,1024,1,3
Naringetin,2,-5.9,41.86870480640899,0.4281196728371435,8.195532235054303,1024,1,4
Naringetin,2,-5.9,41.64625249429079,1.4500308190979667,8.835157792213076,1024,1,5
Naringetin,2,-5.9,42.53333979076298,0.5105514811932961,8.640874017541371,1024,1,6
Naringetin,2,-5.8,41.690771320905455,-0.3882390092492936,8.728590995665236,1024,1,7
Naringetin,2,-5.7,46.07466188900622,1.6906370554157402,8.951955765774951,1024,1,8
Naringetin,2,-5.7,43.526178555570304,2.3779142359447962,8.1227458095254,1024,1,9
Naringetin,2,-5.7,38.64325716487585,-1.2576196205153438,8.791518525374862,1024,1,10
Naringetin,2,-5.7,37.72747686498721,-5.619857396535638,6.174631849757631,1024,1,11
Naringetin,2,-5.6,37.82522666784002,-4.134532399657086,6.2325563050580595,1024,1,12
Naringetin,2,-5.6,41.92883747511487,2.5025641811417962,8.858689774891637,1024,1,13
Naringetin,2,-5.6,38.87827765609891,-0.002598900398671631,8.05570258875499,1024,1,14
Naringetin,2,-5.6,38.91883100514626,0.03265139827635199,8.037046933832345,1024,1,15
Naringetin,2,-5.6,42.66657318733084,2.0269083197437254,8.550413148282114,1024,1,16
Naringetin,2,-5.6,42.945161732724756,2.6667479928301296,8.36898196900346,1024,1,17
Naringetin,2,-5.5,48.00645620923738,2.1155769887736504,8.853566549947642,1024,1,18
Naringetin,2,-5.4,40.02829556770903,-0.19083611945967438,8.531597114238062,1024,1,19
Naringetin,2,-6.0,44.14414492264622,1.3382260989496815,8.335248632052817,1024,2,1
Naringetin,2,-6.0,44.09840525532775,1.3299091590203511,8.332618022135657,1024,2,2
Naringetin,2,-6.0,43.60013883849863,0.6321603094350001,8.59763933971637,1024,2,3
Naringetin,2,-5.9,41.858883209839476,0.4260917178732563,8.193778115747984,1024,2,4
Naringetin,2,-5.9,41.65159079580129,1.4514925681386008,8.83813713121966,1024,2,5
Naringetin,2,-5.9,42.54243710003938,0.5127142478150427,8.652245665858933,1024,2,6
Naringetin,2,-5.8,41.69163775927126,-0.3818184980702491,8.7335541108862,1024,2,7
Naringetin,2,-5.7,46.06445113824045,1.7064602497569914,8.949837540773581,1024,2,8
Naringetin,2,-5.7,43.56825153745161,2.3493567075369475,8.106284189598401,1024,2,9
Naringetin,2,-5.7,37.74099525220516,-5.579950480703213,6.184131671969905,1024,2,10
Naringetin,2,-5.6,37.838668167318225,-4.1248024679930815,6.226411873104476,1024,2,11
Naringetin,2,-5.6,41.921661046613835,2.501117402291414,8.853799891647906,1024,2,12
Naringetin,2,-5.6,38.8602365167254,0.018974237536107608,8.047506605503738,1024,2,13
Naringetin,2,-5.6,38.50386581764764,-1.493530889430321,8.657341256761276,1024,2,14
Naringetin,2,-5.6,38.866826830573366,0.0255069097833103,8.067062352614585,1024,2,15
Naringetin,2,-5.6,47.62576410657662,1.983333509867163,8.816626183728477,1024,2,16
Naringetin,2,-5.6,42.67561962127531,2.046014243840563,8.55029373876383,1024,2,17
Naringetin,2,-5.5,42.90124230031712,2.667397272396562,8.371158381697756,1024,2,18
Naringetin,2,-5.4,40.044663836957845,-0.1938829514601887,8.540217165334841,1024,2,19
Naringetin,2,-6.0,44.069781913847095,1.3434474576278925,8.34434778129351,1024,3,1
Naringetin,2,-6.0,44.09552449796341,1.3340749805208647,8.338171578874338,1024,3,2
Naringetin,2,-6.0,43.603200008800115,0.63061711993608,8.584605525470842,1024,3,3
Naringetin,2,-5.9,41.863144482565545,0.4219624711726644,8.191813951887205,1024,3,4
Naringetin,2,-5.9,41.64716391162185,1.4512934349402176,8.838734530814811,1024,3,5
Naringetin,2,-5.9,42.562392742248235,0.5153975149690887,8.652196451069699,1024,3,6
Naringetin,2,-5.8,41.6865145737681,-0.36336627494091284,8.741323375624702,1024,3,7
Naringetin,2,-5.7,43.558795871874615,2.339108841426648,8.099750242021576,1024,3,8
Naringetin,2,-5.7,43.5434473432571,2.361668658998731,8.108773683555784,1024,3,9
Naringetin,2,-5.7,46.18878749955069,1.7353208291451203,8.992015579281363,1024,3,10
Naringetin,2,-5.7,38.64444848232965,-1.2342002126917266,8.809211178079472,1024,3,11
Naringetin,2,-5.7,37.717907148145784,-5.622934842070621,6.174091224292882,1024,3,12
Naringetin,2,-5.6,37.82853618468526,-4.13641994821624,6.2226447466823185,1024,3,13
Naringetin,2,-5.6,41.88455943243502,2.5133960919833216,8.867815771257149,1024,3,14
Naringetin,2,-5.6,45.1880787647891,1.1375523147703803,8.745201858187638,1024,3,15
Naringetin,2,-5.6,47.86929871279257,2.024303662047226,8.854543970184254,1024,3,16
Naringetin,2,-5.6,38.87534133328715,0.0018761657369193105,8.054489174327045,1024,3,17
Naringetin,2,-5.6,38.864568213226136,0.007200251144639154,8.055517606456627,1024,3,18
Naringetin,2,-5.6,42.68433970929752,2.0336990222092943,8.548080215436629,1024,3,19
Naringetin,2,-5.6,42.93154564205006,2.6593234037424422,8.375448613419113,1024,3,20
Naringetin,2,-6.0,44.063774859333414,1.3438093851098019,8.34106859064982,1024,4,1
Naringetin,2,-6.0,44.10007572510912,1.3396465878625134,8.338172522490586,1024,4,2
Naringetin,2,-6.0,43.55102233536702,0.6179220897623225,8.557022056393405,1024,4,3
Naringetin,2,-5.9,41.86816798633875,0.4337316086213866,8.195534599148523,1024,4,4
Naringetin,2,-5.9,41.645624458818965,1.4435398427275858,8.835701579024049,1024,4,5
Naringetin,2,-5.9,42.54679507758637,0.5205868467782883,8.650360999900377,1024,4,6
Naringetin,2,-5.8,41.69145634617837,-0.3701985763910819,8.736334354463366,1024,4,7
