ligand,site,score,COM_x,COM_y,COM_z,exhaustiveness,i,model
OHN,0,-7.3,41.106795411372495,15.069781072501424,-2.863326666463606,1024,1,1
OHN,0,-6.3,40.258996423948034,17.487020294729295,-2.8087670736975143,1024,1,2
OHN,0,-6.3,41.10758713643479,16.14703228004954,-4.341632555200806,1024,1,3
OHN,0,-6.1,40.45085643362271,15.388574326132735,-2.9115525627204852,1024,1,4
OHN,0,-6.0,40.657950891752535,14.924177661667054,-1.8278217376287953,1024,1,5
OHN,0,-5.8,41.89607200956821,15.695250163303776,-7.767470632277828,1024,1,6
OHN,0,-5.8,42.21125474237316,16.35825365704933,-6.985377376220098,1024,1,7
OHN,0,-5.7,41.2185984353519,15.962658299043294,-4.970821392767819,1024,1,8
OHN,0,-5.5,49.12702575977278,12.103412727789124,-4.715743846838657,1024,1,9
OHN,0,-5.5,39.65969418073653,16.19668649489454,-0.531547243262028,1024,1,10
OHN,0,-5.4,40.08383499051228,15.518572330496893,-0.6370114141165997,1024,1,11
OHN,0,-5.4,51.300143361791264,12.242536428153317,-3.2290194936428995,1024,1,12
OHN,0,-5.4,50.349538377399625,11.942729970756886,-3.193071048662791,1024,1,13
OHN,0,-5.3,50.975406338937155,12.83849724756542,-4.136736510135233,1024,1,14
OHN,0,-5.3,50.49056754116263,11.872729319459348,-3.29176156337075,1024,1,15
OHN,0,-5.3,45.29523058794447,10.352336571850305,-7.882524846990072,1024,1,16
OHN,0,-5.3,51.348735398924745,12.1124544423972,-3.6164675789748997,1024,1,17
OHN,0,-5.2,51.00498385923775,12.097684823985572,-2.757780740325659,1024,1,18
OHN,0,-5.2,47.764883898156285,10.689752887270364,-6.999538297748221,1024,1,19
OHN,0,-5.2,50.28876325330757,12.901417171893662,-5.540044077894038,1024,1,20
OHN,0,-7.3,41.09636506034664,15.114708442021213,-2.8967447698359057,1024,2,1
OHN,0,-6.5,40.451433103423575,17.729753932694738,-3.2581830721345786,1024,2,2
OHN,0,-6.4,41.11229131120703,16.080089860991382,-4.306958110748904,1024,2,3
OHN,0,-6.2,40.86589692071452,14.982376840933327,-3.0201027083165717,1024,2,4
OHN,0,-5.7,42.78258134002682,16.58646303390487,-8.072271021271568,1024,2,5
OHN,0,-5.6,42.25802974020303,15.634546980707485,-7.5687114582272415,1024,2,6
OHN,0,-5.6,41.648401437943434,16.53483186227805,-5.722474072774961,1024,2,7
OHN,0,-5.5,39.61107906092794,17.498684708417326,-2.247520901296674,1024,2,8
OHN,0,-5.5,49.125843738667676,12.108962407350885,-4.737018659589692,1024,2,9
OHN,0,-5.4,50.41708266456292,11.813506366910996,-3.239506961936303,1024,2,10
OHN,0,-5.4,51.355275924256574,12.251629236393281,-3.1507987736932446,1024,2,11
OHN,0,-5.3,50.38107697384053,11.946278593831584,-3.167496422657367,1024,2,12
OHN,0,-5.3,50.97065981352581,12.983906540315001,-3.8382838305411004,1024,2,13
OHN,0,-5.2,50.84498375473218,11.994323252074423,-2.8770782720842503,1024,2,14
OHN,0,-5.2,45.52515737741046,10.27402478736216,-7.914268919433884,1024,2,15
OHN,0,-5.2,50.30886794309972,12.947729972231913,-5.55162410713937,1024,2,16
OHN,0,-5.2,47.75346504443849,10.681687179896409,-7.015497107069234,1024,2,17
OHN,0,-5.1,47.98275559342605,10.665704444923177,-7.320232644277602,1024,2,18
OHN,0,-7.3,41.01305836595047,15.09124547390249,-2.847415046750568,1024,3,1
OHN,0,-7.0,41.34915484582409,15.211382142027714,-3.61414923829311,1024,3,2
OHN,0,-6.4,40.42310754131162,17.743304423520563,-3.261132830329949,1024,3,3
OHN,0,-6.3,41.129315855337474,16.086680445224676,-4.313322474735949,1024,3,4
OHN,0,-5.7,42.15664823494387,16.370229391846227,-6.907493442663215,1024,3,5
OHN,0,-5.6,40.08474851448333,15.235643060406657,-0.5921892258674942,1024,3,6
OHN,0,-5.6,40.265361703262194,15.490676492819913,-2.5461441605913446,1024,3,7
OHN,0,-5.5,49.12682381844739,12.112549542458137,-4.73349433372616,1024,3,8
OHN,0,-5.4,50.90547352502424,12.921581589896142,-4.023572922867152,1024,3,9
OHN,0,-5.4,51.34723365098258,12.243630226356693,-3.1321769459846394,1024,3,10
OHN,0,-5.4,50.39784158542536,11.940841387993164,-3.1105890301463526,1024,3,11
OHN,0,-5.3,50.289463021809674,11.814893363764101,-3.264191101952515,1024,3,12
OHN,0,-5.3,45.47622282436864,10.324128521927769,-7.8517346797022585,1024,3,13
OHN,0,-5.3,50.92000518552615,12.108258125123033,-2.863316256028154,1024,3,14
OHN,0,-5.3,49.91337802213381,13.068534734897716,-5.550891746841068,1024,3,15
OHN,0,-5.2,47.777272375935055,10.710575258053886,-6.989529286153268,1024,3,16
OHN,0,-5.2,50.864308635972336,11.843175521699955,-2.9632316610993072,1024,3,17
OHN,0,-5.2,49.81369635485047,11.560464227495562,-4.468945581070468,1024,3,18
OHN,0,-5.1,50.58365236921928,12.20693057445535,-4.880824495705354,1024,3,19
OHN,0,-5.1,50.33914841707265,11.410434465830928,-3.4505279938096147,1024,3,20
OHN,0,-7.5,41.08366629095309,15.118060017315333,-2.8641232404512205,1024,4,1
