Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -7.9988084 0.0 -50.0644 7.73002 -13.8643 331.081 -2696.5 329.676 -2684.36 0.0 329.676 -2684.36 1.75709 -50.0644 -2402.9915 -11.7624 -11.7624
0 1 -7.9998674 0.0 -50.0908 7.73019 -13.8596 331.081 -2696.5 329.675 -2684.33 0.0 329.675 -2684.33 1.80868 -50.0908 -2402.9373 -11.7203 -11.7203
0 2 -7.637174 0.0 -46.6843 7.84369 -15.652 331.081 -2696.5 329.658 -2685.26 0.0 329.658 -2685.26 6.79949 -46.6843 -2395.4868 -6.52405 -6.52405
0 3 -7.5271006 0.0 -46.2188 7.82233 -17.1584 331.081 -2696.5 329.716 -2685.81 0.0 329.716 -2685.81 8.35024 -46.2188 -2393.9626 -6.71065 -6.71065
0 4 -7.0751033 0.0 -38.6307 7.73524 -14.1331 331.081 -2696.5 329.714 -2687.26 0.0 329.714 -2687.26 2.30925 -38.6307 -2393.8677 -5.45068 -5.45068
1 0 -7.709253 0.0 -44.9716 7.80789 -14.4369 331.081 -2696.5 329.771 -2688.1 0.0 329.771 -2688.1 2.316 -44.9716 -2400.9846 -9.27191 -9.27191
1 1 -7.576567 0.0 -45.2757 7.82083 -16.7681 331.081 -2696.5 329.756 -2687.75 0.0 329.756 -2687.75 5.60942 -45.2757 -2397.6602 -7.61082 -7.61082
1 2 -7.363506 0.0 -41.323 7.83063 -14.4178 331.081 -2696.5 329.767 -2688.03 0.0 329.767 -2688.03 2.69373 -41.323 -2396.892 -7.32274 -7.32274
1 3 -7.364616 0.0 -41.3511 7.82974 -14.4217 331.081 -2696.5 329.767 -2688.01 0.0 329.767 -2688.01 2.70576 -41.3511 -2396.8882 -7.32064 -7.32064
1 4 -7.4220757 0.0 -43.548 7.67777 -14.0916 331.081 -2696.5 329.736 -2685.41 0.0 329.736 -2685.41 2.8373 -43.548 -2396.3845 -7.28799 -7.28799
1 5 -7.6591496 0.0 -47.8211 7.7363 -18.3205 331.081 -2696.5 329.738 -2686.82 0.0 329.738 -2686.82 8.63405 -47.8211 -2396.269 -6.20467 -6.20467
1 6 -7.349763 0.0 -41.2339 7.82972 -14.0941 331.081 -2696.5 329.76 -2687.61 0.0 329.76 -2687.61 2.88168 -41.2339 -2396.2024 -6.83995 -6.83995
1 7 -7.372664 0.0 -42.7029 7.71154 -14.011 331.081 -2696.5 329.758 -2685.81 0.0 329.758 -2685.81 3.10567 -42.7029 -2395.6492 -5.84052 -5.84052
1 8 34.986176 0.0 405.019 7.47193 -15.5253 331.081 -2696.5 329.885 -2687.82 0.0 329.885 -2687.82 253.749 405.019 -1699.167 690.048 690.048
2 0 -7.889277 0.0 -48.8909 7.76428 -16.2081 331.081 -2696.5 329.705 -2686.72 0.0 329.705 -2686.72 5.07947 -48.8909 -2400.8264 -9.02612 -9.02612
2 1 -7.8912096 0.0 -48.955 7.76746 -16.2197 331.081 -2696.5 329.699 -2686.65 0.0 329.699 -2686.65 5.09852 -48.955 -2400.8074 -9.01675 -9.01675
2 2 -7.6159015 0.0 -42.6814 7.54573 -14.478 331.081 -2696.5 329.712 -2690.47 0.0 329.712 -2690.47 3.715 -42.6814 -2399.7244 -8.52002 -8.52002
2 3 -7.392356 0.0 -41.2253 7.35505 -13.6942 331.081 -2696.5 329.635 -2688.46 0.0 329.635 -2688.46 1.51219 -41.2253 -2398.538 -8.17944 -8.17944
2 4 -7.386658 0.0 -41.0752 7.36154 -13.6877 331.081 -2696.5 329.64 -2688.59 0.0 329.64 -2688.59 1.51353 -41.0752 -2398.5117 -8.18371 -8.18371
2 5 -7.291313 0.0 -40.3957 7.67518 -13.7919 331.081 -2696.5 329.71 -2687.81 0.0 329.71 -2687.81 1.53253 -40.3957 -2396.9634 -7.77663 -7.77663
2 6 -6.938943 0.0 -35.9244 7.7854 -13.9303 331.081 -2696.5 329.67 -2688.87 0.0 329.67 -2688.87 2.1023 -35.9244 -2393.0222 -5.13928 -5.13928
2 7 -7.2162232 0.0 -41.5825 7.41707 -17.2872 331.081 -2696.5 329.637 -2688.53 0.0 329.637 -2688.53 8.72429 -41.5825 -2391.7512 -5.92653 -5.92653
