Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -6.769375 0.0 -33.1913 7.16781 -14.097 331.081 -2696.5 331.135 -2693.71 0.0 331.135 -2693.71 40.6331 -33.1913 -2355.133 23.5712 23.5712
0 1 -6.769375 0.0 -33.1913 7.16781 -14.097 331.081 -2696.5 331.135 -2693.71 0.0 331.135 -2693.71 40.6331 -33.1913 -2355.133 23.5712 23.5712
0 2 -6.769375 0.0 -33.1913 7.16781 -14.097 331.081 -2696.5 331.135 -2693.71 0.0 331.135 -2693.71 40.6331 -33.1913 -2355.133 23.5712 23.5712
0 3 -6.7609124 0.0 -33.099 7.16703 -14.0975 331.081 -2696.5 331.144 -2693.73 0.0 331.144 -2693.73 40.5869 -33.099 -2355.0981 23.5514 23.5514
0 4 -6.7609124 0.0 -33.099 7.16703 -14.0975 331.081 -2696.5 331.144 -2693.73 0.0 331.144 -2693.73 40.5869 -33.099 -2355.0981 23.5514 23.5514
0 5 -6.7609124 0.0 -33.099 7.16703 -14.0975 331.081 -2696.5 331.144 -2693.73 0.0 331.144 -2693.73 40.5869 -33.099 -2355.0981 23.5514 23.5514
0 6 -6.770914 0.0 -33.2219 7.16916 -14.0966 331.081 -2696.5 331.138 -2693.69 0.0 331.138 -2693.69 40.6767 -33.2219 -2355.0972 23.5744 23.5744
0 7 -6.770914 0.0 -33.2219 7.16916 -14.0966 331.081 -2696.5 331.138 -2693.69 0.0 331.138 -2693.69 40.6767 -33.2219 -2355.0972 23.5744 23.5744
1 0 -6.9408646 0.0 -39.5599 7.13752 -14.0813 331.081 -2696.5 330.864 -2686.28 0.0 330.864 -2686.28 40.6718 -39.5599 -2354.3042 20.672 20.672
1 1 -6.940389 0.0 -39.5677 7.13726 -14.0807 331.081 -2696.5 330.864 -2686.26 0.0 330.864 -2686.26 40.6719 -39.5677 -2354.2917 20.6717 20.6717
1 2 -6.9386635 0.0 -39.5466 7.13768 -14.0816 331.081 -2696.5 330.861 -2686.26 0.0 330.861 -2686.26 40.667 -39.5466 -2354.2786 20.6718 20.6718
1 3 -6.6013246 0.0 -33.4425 7.16394 -14.0552 331.081 -2696.5 330.844 -2690.09 0.0 330.844 -2690.09 40.3717 -33.4425 -2352.317 22.2051 22.2051
1 4 -6.600889 0.0 -33.4522 7.17183 -14.0812 331.081 -2696.5 330.817 -2690.04 0.0 330.817 -2690.04 40.4242 -33.4522 -2352.2512 22.1948 22.1948
1 5 -5.534956 0.0 -18.8572 7.02711 -14.2104 331.081 -2696.5 331.57 -2696.7 0.0 331.57 -2696.7 43.2253 -18.8572 -2340.7617 33.1351 33.1351
1 6 -5.430576 0.0 -17.9693 7.0598 -14.3332 331.081 -2696.5 331.577 -2696.45 0.0 331.577 -2696.45 42.1067 -17.9693 -2340.7356 32.847 32.847
1 7 -5.1600504 0.0 -12.6246 7.02581 -13.5874 331.081 -2696.5 331.643 -2699.7 0.0 331.643 -2699.7 42.6644 -12.6246 -2338.017 35.0153 35.0153
2 0 -7.3665595 0.0 -46.8877 7.15454 -16.2377 331.081 -2696.5 330.386 -2683.3 0.0 330.386 -2683.3 45.6655 -46.8877 -2354.1362 20.7849 20.7849
