ligand,site,score,COM_x,COM_y,COM_z,exhaustiveness,i,model
Quercetin,0,-6.9,40.01689164471403,14.973348591536743,-0.5678118905343236,1024,1,1
Quercetin,0,-6.9,39.811336868906956,16.20412863458625,-0.9470784849022207,1024,1,2
Quercetin,0,-6.5,47.12428315412864,11.722746886313162,-7.678462971937069,1024,1,3
Quercetin,0,-6.5,47.02984129529428,10.760130007365598,-7.7214225429494086,1024,1,4
Quercetin,0,-6.2,46.81562126680771,10.841574555633434,-7.805198941494865,1024,1,5
Quercetin,0,-6.1,47.05798785508529,10.726797438227793,-7.529343580040834,1024,1,6
Quercetin,0,-6.1,47.0283779458244,11.088870435646637,-7.546100004071436,1024,1,7
Quercetin,0,-6.1,47.21433008973641,11.509649030141055,-7.801160084954986,1024,1,8
Quercetin,0,-6.0,47.617530789080625,11.737155097954966,-7.859820037504289,1024,1,9
Quercetin,0,-6.0,48.95887498104767,11.74054624383439,-6.7786404318814055,1024,1,10
Quercetin,0,-6.0,49.732127345658235,10.940547754436773,-4.375371117594748,1024,1,11
Quercetin,0,-6.0,48.09412110889671,10.18292760898905,-7.455960734769062,1024,1,12
Quercetin,0,-5.9,47.88985852081834,12.188445604686795,-8.203215392841079,1024,1,13
Quercetin,0,-5.8,48.7233417561064,11.192180832570921,-6.3329196466804225,1024,1,14
Quercetin,0,-5.8,48.9875454259812,11.759801706300328,-7.068247572299053,1024,1,15
Quercetin,0,-5.8,48.03939948942221,10.88700155596016,-6.977260406867331,1024,1,16
Quercetin,0,-5.7,49.29405052136208,9.812588507523909,-7.025958504970009,1024,1,17
Quercetin,0,-7.0,40.086145201884165,15.618373290326446,-0.8887648122581753,1024,2,1
Quercetin,0,-6.9,40.008376158566485,15.003709310894925,-0.5576606384342552,1024,2,2
Quercetin,0,-6.9,39.798936767827755,16.190898208132307,-0.9384168323111575,1024,2,3
Quercetin,0,-6.5,47.12016736831021,11.711984196785457,-7.670822588239889,1024,2,4
Quercetin,0,-6.4,47.084130665591736,10.764468875312218,-7.718936855784149,1024,2,5
Quercetin,0,-6.2,46.77909044300216,10.863051826373939,-7.568780865748052,1024,2,6
Quercetin,0,-6.1,46.80884309890521,10.833699494435765,-7.80837989957358,1024,2,7
Quercetin,0,-6.1,47.032390050159385,11.085717452010098,-7.546249756403844,1024,2,8
Quercetin,0,-6.0,47.62174857013648,11.729915769465403,-7.865975172876052,1024,2,9
Quercetin,0,-6.0,48.95245323058072,11.73221312824979,-6.787784246921275,1024,2,10
Quercetin,0,-6.0,49.72436488796665,10.949734516291958,-4.373797600614014,1024,2,11
Quercetin,0,-6.0,48.087752723064895,10.192964875853276,-7.455666382115042,1024,2,12
Quercetin,0,-5.9,47.88093759321816,12.195046286601256,-8.205839910603457,1024,2,13
Quercetin,0,-5.8,48.74244385437465,11.178607600388574,-6.3241813899870385,1024,2,14
Quercetin,0,-5.8,48.98624727007091,11.760084198299625,-7.045018207513174,1024,2,15
Quercetin,0,-5.8,47.99837418987749,10.87045216352892,-7.015502045844332,1024,2,16
Quercetin,0,-5.7,49.293025564557965,9.803721896802987,-7.02864790810811,1024,2,17
Quercetin,0,-7.0,40.08809541661018,15.620748949620909,-0.8890497186505593,1024,3,1
Quercetin,0,-7.0,40.02149188381816,14.930563139202281,-0.5621706804373058,1024,3,2
Quercetin,0,-6.9,39.795827598188005,16.19327812479917,-0.9340588592519267,1024,3,3
Quercetin,0,-6.5,47.11837003210376,11.708506098366486,-7.669620981067171,1024,3,4
Quercetin,0,-6.4,47.02341913654004,10.768486356629897,-7.727761257594821,1024,3,5
Quercetin,0,-6.1,46.80733817889876,10.837648222853392,-7.81537199520715,1024,3,6
Quercetin,0,-6.1,47.033861100625984,11.085916283879117,-7.552010139010821,1024,3,7
Quercetin,0,-6.0,47.61389132505612,11.739630529350153,-7.86368982259659,1024,3,8
Quercetin,0,-6.0,48.96303869650905,11.736907880711748,-6.781511026482145,1024,3,9
Quercetin,0,-6.0,49.73331497180114,10.940212306156917,-4.383130184085951,1024,3,10
Quercetin,0,-6.0,48.09995424490578,10.185338715856751,-7.4517054750671905,1024,3,11
Quercetin,0,-5.9,47.89114905870839,12.19004426602673,-8.20679283791291,1024,3,12
Quercetin,0,-5.9,47.57341705122637,10.621162176931001,-7.3258873057110785,1024,3,13
Quercetin,0,-5.9,47.5954890684058,11.715209746201712,-7.9021757696605635,1024,3,14
Quercetin,0,-5.8,48.17035119604219,10.141134972494282,-7.3534395982135505,1024,3,15
Quercetin,0,-5.8,48.738998243833066,11.170906896367244,-6.330201757243703,1024,3,16
Quercetin,0,-5.8,48.98210282702102,11.765431835506059,-7.064766064509663,1024,3,17
Quercetin,0,-7.0,39.99762575251681,14.967524066775537,-0.5674461274452571,1024,4,1
Quercetin,0,-6.9,39.806614344834195,16.205439363954774,-0.9548037842786857,1024,4,2
Quercetin,0,-6.5,47.11924157060388,11.72522231165167,-7.679001321903269,1024,4,3
Quercetin,0,-6.5,47.030291422434026,10.768904877071346,-7.7295820516452824,1024,4,4
Quercetin,0,-6.1,46.838323782717424,10.843205344949595,-7.7886032530408755,1024,4,5
Quercetin,0,-6.1,47.02810878914591,11.088366105964251,-7.548809943851247,1024,4,6
Quercetin,0,-6.0,47.627521696932675,11.739845037983777,-7.865424705182869,1024,4,7
Quercetin,0,-6.0,48.96092750185318,11.748334293406272,-6.768658625733408,1024,4,8
Quercetin,0,-6.0,49.73685408127455,10.953007715398131,-4.385692800125981,1024,4,9
Quercetin,0,-6.0,48.10387963721856,10.188741883027411,-7.4456745119244205,1024,4,10
Quercetin,0,-5.9,47.89852714713385,12.193509801216527,-8.21077691275728,1024,4,11
Quercetin,0,-5.9,47.566629976913994,10.646599105428905,-7.31732378877409,1024,4,12
