,ligand,site,score,COM_x,COM_y,COM_z,exhaustiveness,i,model
0,Apigenin,0,-7.9,40.0853748121716,15.451963481283586,-0.7398817673992407,1024,1,1
1,Apigenin,0,-7.1,40.05697236968207,16.129708252580322,-1.0186796933889342,1024,1,2
2,Apigenin,0,-6.8,40.26541373685488,15.477321377289126,-1.2593522951791527,1024,1,3
3,Apigenin,0,-6.7,40.122268669592295,14.686381745247026,-0.514227958596396,1024,1,4
4,Apigenin,0,-5.6,46.4930081261797,10.869886189864225,-7.809806766664003,1024,1,5
5,Apigenin,0,-5.6,46.4892285108441,10.883822930642426,-7.815972944195937,1024,1,6
6,Apigenin,0,-5.5,47.94195536840288,10.10640722774939,-7.476772044519357,1024,1,7
7,Apigenin,0,-5.5,47.936611932060565,10.108518599620904,-7.475139172263812,1024,1,8
8,Apigenin,0,-5.4,47.68370281278502,11.995326235731113,-7.646599175116623,1024,1,9
9,Apigenin,0,-5.3,46.906899737676675,11.561374070851093,-7.949523001263553,1024,1,10
10,Apigenin,0,-5.3,48.2364563657088,10.985087540336616,-6.54853047465562,1024,1,11
11,Apigenin,0,-5.3,47.14648647319989,11.071497870612943,-7.769889215181365,1024,1,12
12,Apigenin,0,-5.2,51.58921412466696,11.275185590173571,-1.9628951724951336,1024,1,13
13,Apigenin,0,-5.2,50.479800368661614,10.556930428876898,-3.66201647106977,1024,1,14
14,Apigenin,0,-7.9,40.08244909278865,15.454022459465051,-0.7389614134135775,1024,2,1
15,Apigenin,0,-6.8,40.265744238351544,15.475933004842114,-1.2494463449252151,1024,2,2
16,Apigenin,0,-6.6,40.10603168421254,14.678829490283848,-0.5139988641951783,1024,2,3
17,Apigenin,0,-5.6,46.489515245326174,10.88920066006782,-7.817105416153617,1024,2,4
18,Apigenin,0,-5.6,46.68976588711367,10.736390724154234,-7.94327190412063,1024,2,5
19,Apigenin,0,-5.5,46.832273416475246,10.729650000520566,-7.874248670657719,1024,2,6
20,Apigenin,0,-5.5,47.94059714782739,10.102503130226724,-7.473077478668325,1024,2,7
21,Apigenin,0,-5.5,47.93243638379689,10.104356858992794,-7.469320031133182,1024,2,8
22,Apigenin,0,-5.4,47.68427817042561,12.007822429614649,-7.635368405885853,1024,2,9
23,Apigenin,0,-5.3,46.90576691797092,11.574645220352295,-7.9464614471928705,1024,2,10
24,Apigenin,0,-5.3,48.23345016529056,10.988652205027591,-6.546900050999509,1024,2,11
25,Apigenin,0,-5.3,47.160212386154505,11.07308269177384,-7.773396559877763,1024,2,12
26,Apigenin,0,-5.2,51.588724543240595,11.278460351588825,-1.9685528969596444,1024,2,13
27,Apigenin,0,-5.2,40.81838637137568,13.978488735538276,-13.256605454796514,1024,2,14
28,Apigenin,0,-5.2,50.44602547467503,10.55945878201082,-3.6690491144012944,1024,2,15
29,Apigenin,0,-7.9,40.08366019844593,15.4540333487829,-0.7371938874914878,1024,3,1
30,Apigenin,0,-7.9,40.08777175954225,15.449920764656706,-0.7422115317550773,1024,3,2
31,Apigenin,0,-6.8,40.245215335705716,15.474721549916866,-1.267128098204789,1024,3,3
32,Apigenin,0,-6.7,40.123198828006906,14.687749034858484,-0.5047627572289011,1024,3,4
33,Apigenin,0,-5.6,46.49502908674106,10.874155037054253,-7.81273656152379,1024,3,5
34,Apigenin,0,-5.6,46.495206697707175,10.87454105878197,-7.813341847005893,1024,3,6
35,Apigenin,0,-5.5,47.934526168309354,10.102865904964618,-7.465603209784733,1024,3,7
36,Apigenin,0,-5.5,47.936805136746855,10.104828448711453,-7.468723306515846,1024,3,8
37,Apigenin,0,-5.4,47.69171934624578,12.005631365296527,-7.631414442382228,1024,3,9
38,Apigenin,0,-5.3,46.92097347630525,11.556621104600215,-7.955691520319519,1024,3,10
39,Apigenin,0,-5.3,48.236980163236424,10.984917295307207,-6.531568411570196,1024,3,11
40,Apigenin,0,-5.3,47.150316472718856,11.073505450472462,-7.77840086804792,1024,3,12
41,Apigenin,0,-5.2,40.81252112413826,13.960096563624266,-13.263967074123164,1024,3,13
42,Apigenin,0,-5.2,51.6143943710255,11.259740683660883,-1.9725889948978463,1024,3,14
43,Apigenin,0,-5.2,50.45215088505157,10.549551741776384,-3.6642748611952447,1024,3,15
44,Apigenin,0,-7.9,40.090628906361935,15.450149371481062,-0.7430029109463211,1024,4,1
45,Apigenin,0,-7.0,40.03690516257718,16.238841707139134,-1.0209419733381488,1024,4,2
46,Apigenin,0,-6.8,40.25230397195037,15.48567582165175,-1.2753287637441624,1024,4,3
47,Apigenin,0,-6.7,40.132672446230735,14.68365156728679,-0.5100127759423987,1024,4,4
48,Apigenin,0,-5.6,46.49715487283146,10.878378223157766,-7.819212989774037,1024,4,5
49,Apigenin,0,-5.6,46.69985929699109,10.731491776662141,-7.9608305721329975,1024,4,6
50,Apigenin,0,-5.5,46.83892500177257,10.723127301560744,-7.885001637516552,1024,4,7
51,Apigenin,0,-5.5,47.93217789700717,10.105110299749581,-7.467427322132293,1024,4,8
52,Apigenin,0,-5.5,47.940750010392186,10.10306269815885,-7.473798852659308,1024,4,9
53,Apigenin,0,-5.4,47.6805725225362,11.990310544130766,-7.641771326377009,1024,4,10
54,Apigenin,0,-5.3,46.90245653160349,11.558928681549165,-7.9454766256064095,1024,4,11
55,Apigenin,0,-5.3,46.92773132159247,11.557221269613366,-7.966042748012365,1024,4,12
56,Apigenin,0,-5.3,48.2346874710606,10.980149764293527,-6.545854462183197,1024,4,13
57,Apigenin,0,-5.2,51.605732477687646,11.273780575062561,-1.9549606860759663,1024,4,14
58,Apigenin,0,-5.2,50.43037648403739,10.579033163357787,-3.655754552547541,1024,4,15
59,Apigenin,0,-7.9,40.0900277495524,15.43974322238909,-0.7532053155300911,1024,5,1
60,Apigenin,0,-7.1,40.049975363233756,16.139805682079068,-1.0194469027964317,1024,5,2
61,Apigenin,0,-6.8,40.251699419353436,15.47618608489386,-1.254229558875933,1024,5,3
62,Apigenin,0,-6.7,40.1024807429559,14.684317375830345,-0.5136482579804427,1024,5,4
63,Apigenin,0,-5.6,46.50295459729278,10.896934317712722,-7.8250465546227845,1024,5,5
64,Apigenin,0,-5.6,46.51602333613071,10.936383377064027,-7.856733070896003,1024,5,6
65,Apigenin,0,-5.5,47.93765035602005,10.109499915380797,-7.470604094809687,1024,5,7
66,Apigenin,0,-5.5,47.942265556654206,10.105302424866546,-7.47324653735697,1024,5,8
67,Apigenin,0,-5.4,47.69072339618866,11.992843023353464,-7.646000776885638,1024,5,9
68,Apigenin,0,-5.3,46.90452425364304,11.561781981633649,-7.946659466320686,1024,5,10
69,Apigenin,0,-5.3,47.15601974967458,11.085482778224499,-7.775711116638403,1024,5,11
70,Apigenin,0,-5.3,48.1842007189631,10.991705069879815,-6.502420478881642,1024,5,12
